appointment_id,record_id,cabinet_id,spell_id,cabinet_article,raw_title,person_name,person_wikilink,portfolio,rank,is_interim,start_date,end_date,date_precision,date_basis,source,source_ref,confidence,party_raw,replaces,replaced_by,person_id,tenure_days,is_incumbent,portfolio_label,portfolio_power_rank,rank_level,era,president,head_of_government,start_year,appointment_seq,is_first_appointment
A00001,w00993,Gouvernement Mechichi,TN-18,Gouvernement Mechichi,Ministre des Affaires culturelles,Walid Zidi,Walid Zidi,culture,minister,False,2020-01-01,2021-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Mechichi,medium,Indépendant,,,Q100261455,366.0,False,Cultural affairs,social,3,second_republic,Kaïs Saïed,Hichem Mechichi,2020.0,1,True
A00002,w02145,Gouvernement Mechichi,TN-18,حكومة هشام المشيشي,وزبر الشؤون الثقافية,وليد الزيدي,وليد الزيدي,other,minister,False,2020-09-02,2021-10-11,day,cabinet,wikipedia:ar,https://ar.wikipedia.org/wiki/حكومة_هشام_المشيشي,medium,,,,Q100261455,404.0,False,,,3,second_republic,Kaïs Saïed,Hichem Mechichi,2020.0,2,False
A00003,d03138,TN-18,TN-18,,ministre de la Culture,Walid Zidi,,culture,minister,False,2020-09-02,2020-10-05,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q100261455-F167E834-8575-4742-9AF1-976F22702645,high,,,,Q100261455,33.0,False,Cultural affairs,social,3,second_republic,Kaïs Saïed,Hichem Mechichi,2020.0,3,False
A00004,w00511,Gouvernement Ghannouchi I,TN-10,Gouvernement Ghannouchi I,Ministre de la Défense nationale,Kamel Morjane,Kamel Morjane,defence,minister,False,1999-01-01,2011-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Ghannouchi_I,medium,,,,Q1043040,4383.0,False,Defence,sovereign,3,ben_ali,Zine El Abidine Ben Ali,Mohamed Ghannouchi,1999.0,1,True
A00005,w00549,Gouvernement Ghannouchi I,TN-10,Gouvernement Ghannouchi I,Ministre des Affaires étrangères,Kamel Morjane,Kamel Morjane,foreign_affairs,minister,False,1999-01-01,2011-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Ghannouchi_I,medium,,,,Q1043040,4383.0,False,Foreign affairs,sovereign,3,ben_ali,Zine El Abidine Ben Ali,Mohamed Ghannouchi,1999.0,2,False
A00006,w01723,Gouvernement Ghannouchi I,TN-10,حكومة محمد الغنوشي الأولى,وزير الدفاع الوطني,كمال مرجان,كمال مرجان,defence,minister,False,1999-11-17,2011-02-27,day,cabinet,wikipedia:ar,https://ar.wikipedia.org/wiki/حكومة_محمد_الغنوشي_الأولى,medium,,,,Q1043040,4120.0,False,Defence,sovereign,3,ben_ali,Zine El Abidine Ben Ali,Mohamed Ghannouchi,1999.0,3,False
A00007,w01761,Gouvernement Ghannouchi I,TN-10,حكومة محمد الغنوشي الأولى,وزير الشؤون الخارجية,كمال مرجان,كمال مرجان,foreign_affairs,minister,False,1999-11-17,2011-02-27,day,cabinet,wikipedia:ar,https://ar.wikipedia.org/wiki/حكومة_محمد_الغنوشي_الأولى,medium,,,,Q1043040,4120.0,False,Foreign affairs,sovereign,3,ben_ali,Zine El Abidine Ben Ali,Mohamed Ghannouchi,1999.0,4,False
A00008,d02738,TN-10,TN-10,,ministre de la Défense,Kamel Morjane,,defence,minister,False,2005-08-17,2010-01-14,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q1043040-8FAC6B60-B2C3-4E6A-8EA8-427693DBF845,high,,,,Q1043040,1611.0,False,Defence,sovereign,3,ben_ali,Zine El Abidine Ben Ali,Mohamed Ghannouchi,2005.0,5,False
A00009,d02938,TN-10,TN-10,,ministre des Affaires étrangères,Kamel Morjane,,foreign_affairs,minister,False,2010-01-14,2011-01-27,day,statement,wikidata,http://www.wikidata.org/entity/statement/Q1043040-504BF80D-9A65-4B84-B84E-FE5F3EE9DA4A,high,,Abdelwahab Abdallah,Ahmed Ounaies,Q1043040,378.0,False,Foreign affairs,sovereign,3,ben_ali,Zine El Abidine Ben Ali,Mohamed Ghannouchi,2010.0,6,False
A00010,w00594,Gouvernement Ghannouchi II,TN-10,Gouvernement Ghannouchi II,Ministre des Affaires étrangères,Kamel Morjanedémissionnaire,Kamel Morjane,foreign_affairs,minister,False,2011-01-01,2011-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Ghannouchi_II,medium,RCD,,,Q1043040,0.0,False,Foreign affairs,sovereign,3,ben_ali,Zine El Abidine Ben Ali,Mohamed Ghannouchi,2011.0,7,False
A00011,w00259,Gouvernement Chahed,TN-16,Gouvernement Chahed,Ministre de la Fonction publique et de la Modernisation de l'administration et des politiques publiques,Kamel Morjane,Kamel Morjane,public_service_governance,minister,False,2016-01-01,2020-01-01,day,cabinet,wikipedia:fr,https://fr.wikipedia.org/wiki/Gouvernement_Chahed,medium,Al Moubadara puis Tahya Tounes,,,Q1043040,1461.0,False,"Public service, administrative reform and governance",service,3,second_republic,Béji Caïd Essebsi,Youssef Chahed,2016.0,8,False
A00012,w01472,Gouvernement Chahed,TN-16,حكومة يوسف الشاهد,وزير الوظيفة العمومية وتحديث الإدارة والسياسات العمومية,كمال مرجان,كمال مرجان,public_service_governance,minister,False,2016-08-27,2020-02-27,day,cabinet,wikipedia:ar,https://ar.wikipedia.org/wiki/حكومة_يوسف_الشاهد,medium,,,,Q1043040,1279.0,False,"Public service, administrative reform and governance",service,3,second_republic,Béji Caïd Essebsi,Youssef Chahed,2016.0,9,False
